1.480561,0.338683
1.852928,0.083316
1.892016,-0.200076
1.602691,-0.418052
1.261462,-0.212584
1.199411,0.155580
0.759665,0.143617
1.562194,-1.372034
2.174489,-1.615930
1.972846,-1.821314
0.611324,-1.761674
0.536460,-1.520719
1.024062,-1.410881
1.018144,-1.333153
0.391782,-0.358832
-0.296064,-0.259301
-0.597656,-0.433942
-0.855163,-1.299331
-0.466013,-1.461331
-0.436968,-1.716216
-1.814731,-1.724219
-1.837788,-1.437156
-1.394816,-1.332505
-1.086392,-0.001492
-2.145375,0.358369
-2.193900,0.937640
-1.687483,0.962861
-1.398035,0.391254
-1.022083,0.295756
-0.789584,1.512842
-0.239924,1.809782
0.613457,0.365853
0.139090,0.325949
-0.342986,0.933695
-0.486203,0.275693